concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
10, 70.0, 103, 137.74, 491, 147.3, 459.05, 483.66, 137.74, 491, 140, 0, 0, 0, 0, 0, 140
20, 179.0, 102, 108.87, 174, 118.0, 130.15, 163.43, 108.87, 174, 358, 0, 0, 0, 0, 0, 358
30, 269.0, 101, 108.33, 173, 118.0, 139.3, 160.63, 108.33, 173, 538, 0, 0, 0, 0, 0, 538
40, 357.5, 101, 109.2, 172, 125.0, 143.3, 158.0, 109.2, 172, 715, 0, 0, 0, 0, 0, 715
50, 448.0, 101, 108.57, 198, 120.0, 135.0, 175.1, 108.57, 198, 896, 0, 0, 0, 0, 0, 896
60, 541.0, 101, 107.76, 178, 118.0, 132.0, 171.19, 107.76, 178, 1082, 0, 0, 0, 0, 0, 1082
70, 623.0, 101, 109.11, 182, 120.0, 131.0, 175.55, 109.11, 182, 1246, 0, 0, 0, 0, 0, 1246
80, 680.0, 101, 114.38, 205, 139.0, 149.0, 181.41, 114.38, 205, 1360, 0, 0, 0, 0, 0, 1360
90, 682.5, 101, 127.89, 206, 160.0, 173.0, 200.0, 127.89, 206, 1365, 0, 0, 0, 0, 0, 1365
100, 735.5, 101, 131.89, 230, 173.0, 196.0, 215.0, 131.89, 230, 1471, 0, 0, 0, 0, 0, 1471
110, 729.5, 101, 145.87, 252, 189.0, 206.0, 218.42, 145.87, 252, 1459, 0, 0, 0, 0, 0, 1459
120, 785.0, 101, 145.74, 255, 194.0, 210.0, 237.0, 145.74, 255, 1570, 0, 0, 0, 0, 0, 1570
130, 831.5, 101, 151.3, 288, 199.0, 221.0, 252.76, 151.3, 288, 1663, 0, 0, 0, 0, 0, 1663
140, 919.0, 101, 146.92, 298, 211.0, 234.0, 281.0, 146.92, 298, 1838, 0, 0, 0, 0, 0, 1838
150, 959.0, 101, 151.34, 263, 209.0, 225.0, 255.0, 151.34, 263, 1918, 0, 0, 0, 0, 0, 1918
160, 1022.5, 101, 150.12, 269, 206.6, 228.0, 249.0, 150.12, 269, 2045, 0, 0, 0, 0, 0, 2045
170, 991.5, 101, 164.58, 291, 232.0, 241.0, 280.0, 164.58, 291, 1983, 0, 0, 0, 0, 0, 1983
180, 1046.5, 101, 165.08, 267, 218.0, 231.0, 263.0, 165.08, 267, 2093, 0, 0, 0, 0, 0, 2093
190, 1010.0, 101, 176.48, 379, 256.0, 271.0, 287.81, 176.48, 379, 2020, 0, 0, 0, 0, 0, 2020
200, 1204.5, 101, 159.96, 278, 210.0, 236.0, 247.0, 159.96, 278, 2409, 0, 0, 0, 0, 0, 2409
