concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
10, 68.5, 103, 141.69, 449, 169.4, 418.2, 436.4, 141.69, 449, 137, 0, 0, 0, 0, 0, 137
20, 142.0, 103, 136.38, 319, 163.0, 179.85, 258.56, 136.38, 319, 284, 0, 0, 0, 0, 0, 284
30, 192.5, 103, 151.95, 378, 197.0, 222.8, 252.32, 151.95, 378, 385, 0, 0, 0, 0, 0, 385
40, 222.0, 103, 172.62, 378, 210.0, 225.85, 352.56, 172.62, 378, 444, 0, 0, 0, 0, 0, 444
50, 286.5, 103, 168.32, 387, 224.6, 299.2, 377.12, 168.32, 387, 573, 0, 0, 0, 0, 0, 573
60, 380.0, 105, 151.69, 406, 180.0, 199.0, 221.05, 151.69, 406, 760, 0, 0, 0, 0, 0, 760
70, 396.0, 103, 171.23, 328, 210.0, 238.35, 308.54, 171.23, 328, 792, 0, 0, 0, 0, 0, 792
80, 383.5, 102, 183.51, 359, 264.0, 287.0, 310.34, 183.51, 359, 767, 0, 0, 0, 0, 10, 777
90, 446.0, 102, 189.22, 543, 236.9, 272.0, 468.22, 189.22, 543, 892, 0, 0, 0, 0, 5, 897
100, 446.0, 106, 212.89, 418, 324.0, 368.45, 410.0, 212.89, 418, 892, 0, 0, 0, 0, 5, 897
110, 480.0, 106, 213.63, 479, 272.0, 308.05, 469.0, 213.63, 479, 960, 0, 0, 0, 0, 10, 970
120, 513.5, 103, 226.22, 461, 339.0, 394.0, 452.96, 226.22, 461, 1027, 0, 0, 0, 0, 7, 1034
130, 526.5, 104, 230.21, 1249, 264.8, 291.4, 379.96, 230.21, 1249, 1053, 0, 0, 0, 0, 5, 1058
140, 510.0, 107, 254.48, 758, 434.0, 593.0, 753.0, 254.48, 758, 1020, 0, 0, 0, 0, 8, 1028
150, 532.5, 112, 267.92, 650, 440.0, 582.0, 634.0, 267.92, 650, 1065, 0, 0, 0, 0, 9, 1074
160, 550.5, 103, 274.16, 502, 402.0, 430.0, 497.0, 274.16, 502, 1101, 0, 0, 0, 0, 3, 1104
170, 548.5, 111, 290.37, 544, 425.8, 504.0, 534.04, 290.37, 544, 1097, 0, 0, 0, 0, 5, 1102
180, 520.0, 104, 311.78, 624, 451.1, 582.0, 622.0, 311.78, 624, 1040, 0, 0, 0, 0, 7, 1047
190, 616.5, 112, 292.64, 941, 375.6, 542.4, 890.68, 292.64, 941, 1233, 0, 0, 0, 0, 12, 1245
200, 653.0, 113, 286.63, 485, 387.0, 411.0, 428.95, 286.63, 485, 1306, 0, 0, 0, 0, 13, 1319
