concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
10, 74.5, 102, 131.32, 455, 138.6, 432.2, 449.56, 131.32, 455, 149, 0, 0, 0, 0, 0, 149
20, 178.5, 102, 109.26, 173, 118.8, 134.0, 165.0, 109.26, 173, 357, 0, 0, 0, 0, 0, 357
30, 270.0, 101, 107.91, 165, 119.0, 136.05, 153.0, 107.91, 165, 540, 0, 0, 0, 0, 0, 540
40, 364.0, 101, 106.74, 176, 113.0, 133.0, 161.73, 106.74, 176, 728, 0, 0, 0, 0, 0, 728
50, 456.5, 100, 106.51, 171, 115.0, 130.0, 151.88, 106.51, 171, 913, 0, 0, 0, 0, 0, 913
60, 549.0, 100, 105.85, 159, 113.0, 121.3, 152.03, 105.85, 159, 1098, 0, 0, 0, 0, 0, 1098
70, 641.5, 100, 106.54, 174, 114.0, 130.0, 158.72, 106.54, 174, 1283, 0, 0, 0, 0, 0, 1283
80, 717.5, 100, 108.14, 177, 121.6, 136.0, 155.66, 108.14, 177, 1435, 0, 0, 0, 0, 0, 1435
90, 765.5, 101, 114.66, 194, 141.0, 155.0, 176.1, 114.66, 194, 1531, 0, 0, 0, 0, 0, 1531
100, 845.5, 100, 115.17, 229, 140.0, 161.5, 182.0, 115.17, 229, 1691, 0, 0, 0, 0, 0, 1691
110, 921.5, 100, 116.21, 269, 146.0, 181.9, 246.58, 116.21, 269, 1843, 0, 0, 0, 0, 0, 1843
120, 1016.5, 100, 114.62, 207, 135.0, 151.0, 176.68, 114.62, 207, 2033, 0, 0, 0, 0, 0, 2033
130, 1091.0, 100, 115.47, 206, 142.0, 154.0, 187.19, 115.47, 206, 2182, 0, 0, 0, 0, 0, 2182
140, 1092.5, 100, 124.07, 296, 166.6, 206.8, 263.0, 124.07, 296, 2185, 0, 0, 0, 0, 0, 2185
150, 1220.5, 100, 119.55, 241, 148.0, 163.0, 188.6, 119.55, 241, 2441, 0, 0, 0, 0, 0, 2441
160, 1178.5, 100, 132.0, 268, 173.0, 196.0, 245.0, 132.0, 268, 2357, 0, 0, 0, 0, 0, 2357
170, 1352.0, 100, 120.79, 227, 155.0, 170.0, 195.0, 120.79, 227, 2704, 0, 0, 0, 0, 0, 2704
180, 1486.5, 100, 117.1, 216, 141.0, 151.0, 167.0, 117.1, 216, 2973, 0, 0, 0, 0, 0, 2973
190, 1555.0, 100, 119.18, 255, 144.0, 159.0, 217.0, 119.18, 255, 3110, 0, 0, 0, 0, 0, 3110
200, 1600.5, 100, 121.17, 246, 147.0, 158.0, 207.0, 121.17, 246, 3201, 0, 0, 0, 0, 0, 3201
