concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
10, 145.5, 25, 67.04, 352, 91.0, 121.5, 341.2, 67.04, 352, 291, 0, 0, 0, 0, 0, 291
20, 151.0, 25, 127.31, 1108, 179.7, 227.55, 1095.92, 127.31, 1108, 302, 0, 0, 0, 0, 0, 302
30, 210.0, 47, 120.87, 212, 174.2, 192.05, 207.81, 120.87, 212, 420, 0, 0, 0, 0, 0, 420
40, 275.0, 15, 138.19, 373, 203.0, 235.1, 275.51, 138.19, 373, 550, 0, 0, 0, 0, 0, 550
50, 348.5, 18, 83.09, 167, 139.0, 147.2, 161.04, 83.09, 167, 697, 0, 0, 0, 0, 4, 701
60, 426.0, 18, 132.06, 429, 240.0, 256.9, 414.0, 132.06, 429, 852, 0, 0, 0, 0, 4, 856
70, 444.0, 16, 87.0, 615, 226.3, 360.25, 608.0, 87.0, 615, 888, 0, 0, 0, 0, 2, 890
80, 501.0, 15, 155.52, 481, 260.0, 354.95, 467.0, 155.52, 481, 1002, 0, 0, 0, 0, 5, 1007
90, 536.5, 13, 164.83, 337, 256.0, 310.4, 327.28, 164.83, 337, 1073, 0, 0, 0, 0, 6, 1079
100, 554.0, 15, 167.48, 544, 254.0, 393.25, 535.0, 167.48, 544, 1108, 0, 0, 0, 0, 15, 1123
110, 538.5, 13, 188.36, 597, 342.4, 492.0, 579.24, 188.36, 597, 1077, 0, 0, 0, 0, 6, 1083
120, 581.5, 20, 189.64, 765, 409.0, 747.9, 758.38, 189.64, 765, 1163, 0, 0, 0, 0, 7, 1170
130, 552.0, 17, 188.23, 414, 371.0, 399.0, 411.0, 188.23, 414, 1104, 0, 0, 0, 0, 5, 1109
140, 585.5, 13, 217.73, 760, 418.0, 518.0, 743.3, 217.73, 760, 1171, 0, 0, 0, 0, 7, 1178
150, 634.5, 22, 229.23, 371, 337.0, 350.0, 366.0, 229.23, 371, 1269, 0, 0, 0, 0, 13, 1282
160, 665.0, 16, 210.7, 792, 559.0, 759.0, 779.71, 210.7, 792, 1330, 0, 0, 0, 0, 8, 1338
170, 663.5, 22, 218.13, 961, 501.4, 722.3, 944.0, 218.13, 961, 1327, 0, 0, 0, 0, 10, 1337
180, 787.5, 17, 214.46, 920, 453.0, 591.0, 894.52, 214.46, 920, 1575, 0, 0, 0, 0, 12, 1587
190, 716.0, 17, 233.74, 487, 427.0, 448.0, 477.0, 233.74, 487, 1432, 0, 0, 0, 0, 8, 1440
200, 688.0, 21, 262.59, 538, 483.0, 505.0, 534.0, 262.59, 538, 1376, 0, 0, 0, 0, 20, 1396
