concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
20, 722.5, 3, 27.47, 80, 43.0, 47.0, 58.56, 27.47, 80, 1445, 0, 0, 0, 0, 0, 1445
40, 1601.0, 3, 24.82, 83, 42.0, 47.0, 53.0, 24.82, 83, 3202, 0, 0, 0, 0, 0, 3202
60, 2516.5, 2, 23.28, 65, 35.0, 37.0, 41.0, 23.28, 65, 5033, 0, 0, 0, 0, 0, 5033
80, 2633.0, 3, 30.05, 61, 41.0, 42.0, 46.0, 30.05, 61, 5266, 0, 0, 0, 0, 0, 5266
100, 2663.0, 4, 37.1, 85, 44.0, 48.0, 57.0, 37.1, 85, 5326, 0, 0, 0, 0, 0, 5326
120, 2796.0, 3, 42.38, 83, 54.0, 57.0, 62.0, 42.38, 83, 5592, 0, 0, 0, 0, 0, 5592
140, 2888.0, 3, 47.73, 100, 60.0, 63.0, 71.0, 47.73, 100, 5776, 0, 0, 0, 0, 0, 5776
160, 3029.0, 1, 51.94, 98, 63.0, 66.0, 71.0, 51.94, 98, 6058, 0, 0, 0, 0, 0, 6058
180, 3389.5, 2, 52.19, 114, 63.0, 67.0, 74.0, 52.19, 114, 6779, 0, 0, 0, 0, 0, 6779
200, 3554.0, 3, 55.3, 120, 67.0, 70.0, 77.0, 55.3, 120, 7108, 0, 0, 0, 0, 0, 7108
220, 3691.0, 2, 58.53, 132, 70.0, 74.0, 78.0, 58.53, 132, 7382, 0, 0, 0, 0, 0, 7382
240, 3737.5, 2, 63.01, 181, 73.0, 81.0, 165.0, 63.01, 181, 7475, 0, 0, 0, 0, 0, 7475
260, 4694.5, 6, 54.35, 118, 66.0, 69.0, 77.0, 54.35, 118, 9389, 0, 0, 0, 0, 0, 9389
280, 5652.0, 1, 48.65, 101, 61.0, 64.0, 71.0, 48.65, 101, 11304, 0, 0, 0, 0, 0, 11304
300, 8334.0, 3, 35.5, 93, 46.0, 50.0, 58.0, 35.5, 93, 16668, 0, 0, 0, 0, 0, 16668
320, 9.3e3, 2, 33.87, 74, 43.0, 45.0, 50.0, 33.87, 74, 18600, 0, 0, 0, 0, 0, 18600
340, 9485.0, 4, 35.28, 94, 45.0, 47.0, 52.0, 35.28, 94, 18970, 0, 0, 0, 0, 0, 18970
360, 9772.5, 3, 36.23, 83, 46.0, 48.0, 53.0, 36.23, 83, 19545, 0, 0, 0, 0, 0, 19545
380, 9971.5, 2, 37.47, 93, 47.0, 50.0, 53.0, 37.47, 93, 19943, 0, 0, 0, 0, 0, 19943
400, 9946.0, 5, 39.47, 95, 50.0, 51.0, 58.0, 39.47, 95, 19892, 0, 0, 0, 0, 0, 19892
