concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
20, 517.5, 1, 38.22, 127, 58.0, 66.0, 118.66, 38.22, 127, 1035, 0, 0, 0, 0, 0, 1035
40, 840.5, 1, 47.06, 91, 70.0, 76.0, 86.2, 47.06, 91, 1681, 0, 0, 0, 0, 3, 1684
60, 1143.0, 1, 51.8, 76, 63.0, 65.0, 68.0, 51.8, 76, 2286, 0, 0, 0, 0, 17, 2303
80, 1286.5, 0, 61.03, 84, 73.0, 74.0, 76.0, 61.03, 84, 2573, 0, 0, 0, 0, 20, 2593
100, 1397.0, 1, 70.14, 93, 79.0, 80.0, 83.0, 70.14, 93, 2794, 0, 0, 0, 0, 15, 2809
120, 1643.0, 1, 71.76, 97, 83.0, 85.0, 86.15, 71.76, 97, 3286, 0, 0, 0, 0, 25, 3311
140, 2.6e3, 0, 52.97, 91, 63.0, 79.0, 86.0, 52.97, 91, 5200, 0, 0, 0, 0, 41, 5241
160, 2038.0, 1, 76.84, 98, 92.0, 94.0, 95.0, 76.84, 98, 4076, 0, 0, 0, 0, 20, 4096
180, 2197.0, 0, 79.92, 100, 90.0, 92.0, 95.0, 79.92, 100, 4394, 0, 0, 0, 0, 59, 4453
200, 2567.5, 0, 76.3, 99, 91.0, 92.0, 94.0, 76.3, 99, 5135, 0, 0, 0, 0, 40, 5175
220, 4584.0, 1, 47.06, 101, 52.0, 58.0, 94.0, 47.06, 101, 9168, 0, 0, 0, 0, 60, 9228
240, 4557.5, 1, 51.75, 120, 56.0, 59.0, 113.0, 51.75, 120, 9115, 0, 0, 0, 0, 104, 9219
260, 4947.5, 1, 51.66, 76, 57.0, 60.0, 72.0, 51.66, 76, 9895, 0, 0, 0, 0, 79, 9974
280, 4897.5, 0, 56.03, 77, 62.0, 64.0, 67.0, 56.03, 77, 9795, 0, 0, 0, 0, 111, 9906
300, 4985.5, 0, 58.94, 78, 65.0, 67.0, 70.0, 58.94, 78, 9971, 0, 0, 0, 0, 89, 10060
320, 5096.5, 1, 61.47, 78, 69.0, 70.0, 72.0, 61.47, 78, 10193, 0, 0, 0, 0, 94, 10287
340, 4873.0, 1, 68.23, 85, 75.0, 77.0, 84.0, 68.23, 85, 9746, 0, 0, 0, 0, 85, 9831
360, 5113.5, 1, 68.7, 89, 78.0, 81.0, 82.0, 68.7, 89, 10227, 0, 0, 0, 0, 100, 10327
380, 4920.5, 0, 75.48, 154, 82.0, 85.0, 149.0, 75.48, 154, 9841, 0, 0, 0, 0, 84, 9925
400, 4857.0, 1, 80.25, 97, 87.0, 88.0, 90.0, 80.25, 97, 9714, 0, 0, 0, 0, 93, 9807
